brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
Lenovo,IdeaPad 1i,14 Inches,1366 x 768 pixels,celeron_n4020,1.1 GHz,4 GB,128 GB,Intel UHD Graphics 600,Integrated,Windows 11 S,2.87 pounds,Cloud Grey,9 ratings,3.8,$199.99,https://www.amazon.com/Lenovo-1i-Business-Dual-Core-Anti-Glare/dp/B0BMTGJJ29/ref=sr_1_65
Lenovo,Lenovo ThinkPad L390 Yoga,13.3 Inches,,Core i5,,16 GB,16 GB,,Integrated,Windows 10,,Black,3 ratings,3.5,$250.00,https://www.amazon.com/Lenovo-ThinkPad-L390-Yoga-i5-8365U/dp/B0BKHCKFXM/ref=sr_1_3
Lenovo,ThinkPad T16 Intel,16 Inches,1920 x 1200 pixels,core_i7_family,3.4 GHz,32 GB,1 GB,Intel UHD Graphics,Integrated Intel® Iris® Xe Graphics,Windows 11 Pro,3.64 pounds,Silver,,,"$1,399.00",https://www.amazon.com/Lenovo-ThinkPad-Anti-Glare-Touchscreen-Fingerprint/dp/B0B9KHJNTT/ref=sr_1_2
lenovo,IdeaPad,15.6 Inches,1366 x 768 pixels,athlon,3.2 GHz,8 GB,384 GB,AMD Radeon Graphics,Integrated,Windows 11 S,3.52 pounds,Gray,121 ratings,4.0,$379.99,https://www.amazon.com/IdeaPad-Laptop-Dual-Core-Processor-Bluetooth/dp/B0C2JB4CQ7/ref=sr_1_76
LENOVO,Lenovo ThinkPad T490,14 Inches,1920 x 1080 pixels,core_i7_8665u,1.9 GHz,16 GB,256 GB,Intel UHD Graphics 620,Integrated,Windows 10 Pro,4.77 pounds,Black,6 ratings,3.9,$299.89,https://www.amazon.com/LENOVO-ThinkPad-Computer-i7-8665U-Fingerprint/dp/B0C89TPWHZ/ref=sr_1_68
Lenovo,82H7,14 Inches,1920 x 1080 pixels,core_i7_family,2.8 GHz,8 GB,256 GB,Intel Iris Xe Graphics,Integrated,Windows 10 Pro,3.53 pounds,Gray,4 ratings,4.3,$689.99,https://www.amazon.com/Lenovo-Quad-Core-i7-1165G7-Graphics-Platinum/dp/B0BD56LJ36/ref=sr_1_22
Lenovo,IdeaPad,14 Inches,1920 x 1080 pixels,core_i3_family,3 GHz,12 GB,256 GB,Intel UHD Graphics,Integrated,Windows 11 Home,3.3 pounds,Grey,28 ratings,4.3,$300.00,https://www.amazon.com/Lenovo-3i-i3-1115G4-Processor-Platinum/dp/B0BS778RLK/ref=sr_1_63
Lenovo,IdeaPad 3,14 Inches,1920 x 1080,core_i3,1.2 GHz,4 GB,128 GB,Intel UHD Graphics,Integrated,Windows 11,3.3 pounds,Platinum Grey,197 ratings,4.1,$240.00,https://www.amazon.com/Lenovo-IdeaPad-Display-Storage-Windows/dp/B09BG7QFRG/ref=sr_1_66
Lenovo,Lenovo Thinkpad,14 Inches,1366 x 768 pixels,i5_2320,2.6 GHz,8 GB,128 GB,Intel HD Graphics 4000,Integrated,Windows 10,1.6 ounces,Black,688 ratings,4.0,$129.35,https://www.amazon.com/Lenovo-T430-LED-backlit-Certified-Refurbished/dp/B0733H5YZY/ref=sr_1_71
Lenovo,LENOVO,11.6 Inches,1366 x 768 pixels,mediatek_mt8183,2.1 GHz,4 GB,32 GB,PowerVR GX6250,Integrated,Chrome OS,2.65 pounds,Gray,244 ratings,4.3,$211.00,https://www.amazon.com/Lenovo-Chromebook-Touchscreen-Computer-MediaTek/dp/B08LYYRJ1Q/ref=sr_1_33
